Recording timestamp,Computer timestamp,Sensor,Recording name,Participant name,Presented Stimulus name,Event,Event value,Gaze point X,Gaze point Y,Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Eye movement type,Gaze event duration,Fixation point X,Fixation point Y,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Mouse position X,Mouse position Y,AOI hit [cake - buy],AOI hit [cake - cake-pic],AOI hit [cake - not-buy],AOI hit [pizza - buy],AOI hit [pizza - not-buy],AOI hit [pizza - pizza-pic],AOI hit [ice-cream - buy],AOI hit [ice-cream - ice-cream-pic],AOI hit [ice-cream - not-buy],AOI hit [cereal - buy],AOI hit [cereal - creal-pic],AOI hit [cereal - not-buy],AOI hit [date - buy],AOI hit [date - date-pic],AOI hit [date - not-buy]
0,1992383029,,Recording3,p03,,RecordingStart,,,,,,EyesNotFound,118.0,,,,,,,,,,,,,,,,,,,,,,,
9,1992383037,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
25,1992383054,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
42,1992383071,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
59,1992383087,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
75,1992383104,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
93,1992383121,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
109,1992383138,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
126,1992383155,Eye Tracker,Recording3,p03,,,,664.0,838.0,,,Unclassified,10.0,,,4.384,,Valid,Invalid,,,,,,,,,,,,,,,,,
130,1992383159,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,27.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
146,1992383175,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,27.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
163,1992383192,Eye Tracker,Recording3,p03,,,,699.0,937.0,,,Unclassified,10.0,,,4.299,,Valid,Invalid,,,,,,,,,,,,,,,,,
167,1992383196,Eye Tracker,Recording3,p03,,,,781.0,901.0,,,Unclassified,48.0,,,4.2,,Valid,Invalid,,,,,,,,,,,,,,,,,
185,1992383214,Eye Tracker,Recording3,p03,,,,748.0,901.0,,,Unclassified,48.0,,,4.266,,Valid,Invalid,,,,,,,,,,,,,,,,,
204,1992383233,Eye Tracker,Recording3,p03,,,,764.0,903.0,,,Unclassified,48.0,,,4.266,,Valid,Invalid,,,,,,,,,,,,,,,,,
222,1992383251,Eye Tracker,Recording3,p03,,,,728.0,863.0,,,Saccade,18.0,,,4.634,4.039,Valid,Valid,,,,,,,,,,,,,,,,,
239,1992383268,Eye Tracker,Recording3,p03,,,,766.0,925.0,,,Fixation,66.0,766.0,921.0,4.312,3.936,Valid,Valid,,,,,,,,,,,,,,,,,
255,1992383284,Eye Tracker,Recording3,p03,,,,762.0,925.0,,,Fixation,66.0,766.0,921.0,4.141,3.922,Valid,Valid,,,,,,,,,,,,,,,,,
272,1992383301,Eye Tracker,Recording3,p03,,,,769.0,909.0,,,Fixation,66.0,766.0,921.0,4.277,4.001,Valid,Valid,,,,,,,,,,,,,,,,,
289,1992383318,Eye Tracker,Recording3,p03,,,,768.0,949.0,,,Fixation,66.0,766.0,921.0,4.256,3.986,Valid,Valid,,,,,,,,,,,,,,,,,
305,1992383334,Eye Tracker,Recording3,p03,,,,957.0,805.0,,,Saccade,33.0,,,4.173,3.925,Valid,Valid,,,,,,,,,,,,,,,,,
322,1992383351,Eye Tracker,Recording3,p03,,,,1172.0,533.0,,,Saccade,33.0,,,4.356,4.282,Valid,Valid,,,,,,,,,,,,,,,,,
323,1992383352,Mouse,Recording3,p03,,,,,,,,Saccade,33.0,,,,,,,2331.0,2009.0,,,,,,,,,,,,,,,
337,1992383366,Mouse,Recording3,p03,,,,,,,,Unclassified,17.0,,,,,,,2268.0,1987.0,,,,,,,,,,,,,,,
339,1992383368,Eye Tracker,Recording3,p03,,,,1202.0,583.0,,,Unclassified,17.0,,,4.305,4.024,Valid,Valid,,,,,,,,,,,,,,,,,
351,1992383380,Mouse,Recording3,p03,,,,,,,,Saccade,17.0,,,,,,,2200.0,1951.0,,,,,,,,,,,,,,,
355,1992383384,Eye Tracker,Recording3,p03,,,,1157.0,646.0,,,Saccade,17.0,,,4.344,4.013,Valid,Valid,,,,,,,,,,,,,,,,,
366,1992383394,Mouse,Recording3,p03,,,,,,,,Fixation,183.0,1191.0,595.0,,,,,2125.0,1907.0,,,,,,,,,,,,,,,
372,1992383401,Eye Tracker,Recording3,p03,,,,1192.0,628.0,,,Fixation,183.0,1191.0,595.0,4.307,4.015,Valid,Valid,,,,,,,,,,,,,,,,,
380,1992383409,Mouse,Recording3,p03,,,,,,,,Fixation,183.0,1191.0,595.0,,,,,2060.0,1867.0,,,,,,,,,,,,,,,
389,1992383418,Eye Tracker,Recording3,p03,,,,1168.0,620.0,,,Fixation,183.0,1191.0,595.0,4.289,3.863,Valid,Valid,,,,,,,,,,,,,,,,,
394,1992383423,Mouse,Recording3,p03,,,,,,,,Fixation,183.0,1191.0,595.0,,,,,2021.0,1839.0,,,,,,,,,,,,,,,
405,1992383434,Eye Tracker,Recording3,p03,,,,1181.0,609.0,,,Fixation,183.0,1191.0,595.0,4.276,3.997,Valid,Valid,,,,,,,,,,,,,,,,,
408,1992383437,Mouse,Recording3,p03,,,,,,,,Fixation,183.0,1191.0,595.0,,,,,2004.0,1826.0,,,,,,,,,,,,,,,
422,1992383451,Eye Tracker,Recording3,p03,,,,1193.0,592.0,,,Fixation,183.0,1191.0,595.0,4.065,4.005,Valid,Valid,,,,,,,,,,,,,,,,,
423,1992383452,Mouse,Recording3,p03,,,,,,,,Fixation,183.0,1191.0,595.0,,,,,1990.0,1814.0,,,,,,,,,,,,,,,
437,1992383466,Mouse,Recording3,p03,,,,,,,,Fixation,183.0,1191.0,595.0,,,,,1983.0,1808.0,,,,,,,,,,,,,,,
439,1992383468,Eye Tracker,Recording3,p03,,,,1192.0,575.0,,,Fixation,183.0,1191.0,595.0,4.169,3.963,Valid,Valid,,,,,,,,,,,,,,,,,
451,1992383480,Mouse,Recording3,p03,,,,,,,,Fixation,183.0,1191.0,595.0,,,,,1980.0,1805.0,,,,,,,,,,,,,,,
455,1992383484,Eye Tracker,Recording3,p03,,,,1210.0,583.0,,,Fixation,183.0,1191.0,595.0,4.296,3.892,Valid,Valid,,,,,,,,,,,,,,,,,
472,1992383501,Eye Tracker,Recording3,p03,,,,1215.0,589.0,,,Fixation,183.0,1191.0,595.0,4.299,3.898,Valid,Valid,,,,,,,,,,,,,,,,,
489,1992383518,Eye Tracker,Recording3,p03,,,,1202.0,586.0,,,Fixation,183.0,1191.0,595.0,4.254,3.886,Valid,Valid,,,,,,,,,,,,,,,,,
505,1992383534,Eye Tracker,Recording3,p03,,,,1197.0,597.0,,,Fixation,183.0,1191.0,595.0,4.273,3.869,Valid,Valid,,,,,,,,,,,,,,,,,
522,1992383551,Eye Tracker,Recording3,p03,,,,1180.0,594.0,,,Fixation,183.0,1191.0,595.0,4.143,3.903,Valid,Valid,,,,,,,,,,,,,,,,,
539,1992383568,Eye Tracker,Recording3,p03,,,,1183.0,571.0,,,Fixation,183.0,1191.0,595.0,4.281,3.933,Valid,Valid,,,,,,,,,,,,,,,,,
555,1992383584,Eye Tracker,Recording3,p03,,,,1068.0,482.0,,,Saccade,50.0,,,4.32,3.955,Valid,Valid,,,,,,,,,,,,,,,,,
572,1992383601,Eye Tracker,Recording3,p03,,,,889.0,303.0,,,Saccade,50.0,,,4.271,4.0,Valid,Valid,,,,,,,,,,,,,,,,,
589,1992383618,Eye Tracker,Recording3,p03,,,,886.0,269.0,,,Saccade,50.0,,,4.3,3.984,Valid,Valid,,,,,,,,,,,,,,,,,
605,1992383634,Eye Tracker,Recording3,p03,,,,887.0,260.0,,,Fixation,300.0,882.0,264.0,4.265,3.931,Valid,Valid,,,,,,,,,,,,,,,,,
622,1992383651,Eye Tracker,Recording3,p03,,,,901.0,273.0,,,Fixation,300.0,882.0,264.0,4.297,4.004,Valid,Valid,,,,,,,,,,,,,,,,,
639,1992383668,Eye Tracker,Recording3,p03,,,,905.0,255.0,,,Fixation,300.0,882.0,264.0,4.302,3.948,Valid,Valid,,,,,,,,,,,,,,,,,
655,1992383684,Eye Tracker,Recording3,p03,,,,870.0,275.0,,,Fixation,300.0,882.0,264.0,4.17,3.893,Valid,Valid,,,,,,,,,,,,,,,,,
672,1992383701,Eye Tracker,Recording3,p03,,,,892.0,272.0,,,Fixation,300.0,882.0,264.0,4.381,3.948,Valid,Valid,,,,,,,,,,,,,,,,,
689,1992383718,Eye Tracker,Recording3,p03,,,,865.0,292.0,,,Fixation,300.0,882.0,264.0,4.147,3.977,Valid,Valid,,,,,,,,,,,,,,,,,
705,1992383734,Eye Tracker,Recording3,p03,,,,875.0,268.0,,,Fixation,300.0,882.0,264.0,4.213,3.943,Valid,Valid,,,,,,,,,,,,,,,,,
722,1992383751,Eye Tracker,Recording3,p03,,,,897.0,251.0,,,Fixation,300.0,882.0,264.0,4.263,3.969,Valid,Valid,,,,,,,,,,,,,,,,,
739,1992383768,Eye Tracker,Recording3,p03,,,,882.0,273.0,,,Fixation,300.0,882.0,264.0,4.26,4.015,Valid,Valid,,,,,,,,,,,,,,,,,
755,1992383784,Eye Tracker,Recording3,p03,,,,871.0,266.0,,,Fixation,300.0,882.0,264.0,4.28,3.996,Valid,Valid,,,,,,,,,,,,,,,,,
772,1992383801,Eye Tracker,Recording3,p03,,,,893.0,267.0,,,Fixation,300.0,882.0,264.0,4.301,4.025,Valid,Valid,,,,,,,,,,,,,,,,,
789,1992383818,Eye Tracker,Recording3,p03,,,,888.0,252.0,,,Fixation,300.0,882.0,264.0,4.277,3.969,Valid,Valid,,,,,,,,,,,,,,,,,
805,1992383834,Eye Tracker,Recording3,p03,,,,870.0,253.0,,,Fixation,300.0,882.0,264.0,4.213,3.978,Valid,Valid,,,,,,,,,,,,,,,,,
822,1992383851,Eye Tracker,Recording3,p03,,,,865.0,260.0,,,Fixation,300.0,882.0,264.0,4.228,4.006,Valid,Valid,,,,,,,,,,,,,,,,,
839,1992383868,Eye Tracker,Recording3,p03,,,,865.0,247.0,,,Fixation,300.0,882.0,264.0,4.303,4.035,Valid,Valid,,,,,,,,,,,,,,,,,
855,1992383884,Eye Tracker,Recording3,p03,,,,881.0,263.0,,,Fixation,300.0,882.0,264.0,4.288,4.012,Valid,Valid,,,,,,,,,,,,,,,,,
872,1992383901,Eye Tracker,Recording3,p03,,,,886.0,264.0,,,Fixation,300.0,882.0,264.0,4.299,3.981,Valid,Valid,,,,,,,,,,,,,,,,,
889,1992383918,Eye Tracker,Recording3,p03,,,,861.0,254.0,,,Fixation,300.0,882.0,264.0,4.323,4.042,Valid,Valid,,,,,,,,,,,,,,,,,
905,1992383934,Eye Tracker,Recording3,p03,,,,904.0,180.0,,,Saccade,33.0,,,4.35,4.046,Valid,Valid,,,,,,,,,,,,,,,,,
916,1992383944,,Recording3,p03,,Eye tracker Calibration start,,,,,,Saccade,33.0,,,,,,,,,,,,,,,,,,,,,,,
922,1992383951,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,991.0,10.0,,,Saccade,33.0,,,4.384,4.034,Valid,Valid,,,,,,,,,,,,,,,,,
939,1992383968,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,965.0,-3.0,,,Fixation,250.0,976.0,-9.0,4.361,4.023,Valid,Valid,,,,,,,,,,,,,,,,,
955,1992383984,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,978.0,-10.0,,,Fixation,250.0,976.0,-9.0,4.383,4.021,Valid,Valid,,,,,,,,,,,,,,,,,
972,1992384001,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,955.0,-15.0,,,Fixation,250.0,976.0,-9.0,4.281,3.983,Valid,Valid,,,,,,,,,,,,,,,,,
989,1992384018,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,984.0,-24.0,,,Fixation,250.0,976.0,-9.0,4.409,4.006,Valid,Valid,,,,,,,,,,,,,,,,,
1005,1992384034,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,967.0,-2.0,,,Fixation,250.0,976.0,-9.0,4.301,3.997,Valid,Valid,,,,,,,,,,,,,,,,,
1022,1992384051,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,973.0,-5.0,,,Fixation,250.0,976.0,-9.0,4.306,4.03,Valid,Valid,,,,,,,,,,,,,,,,,
1039,1992384068,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,965.0,-18.0,,,Fixation,250.0,976.0,-9.0,4.323,4.006,Valid,Valid,,,,,,,,,,,,,,,,,
1055,1992384084,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,984.0,-14.0,,,Fixation,250.0,976.0,-9.0,4.553,4.052,Valid,Valid,,,,,,,,,,,,,,,,,
1072,1992384101,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,976.0,-7.0,,,Fixation,250.0,976.0,-9.0,4.407,4.031,Valid,Valid,,,,,,,,,,,,,,,,,
1089,1992384118,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,981.0,-19.0,,,Fixation,250.0,976.0,-9.0,4.49,4.032,Valid,Valid,,,,,,,,,,,,,,,,,
1105,1992384134,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,961.0,1.0,,,Fixation,250.0,976.0,-9.0,4.337,4.058,Valid,Valid,,,,,,,,,,,,,,,,,
1122,1992384151,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,981.0,-9.0,,,Fixation,250.0,976.0,-9.0,4.467,4.032,Valid,Valid,,,,,,,,,,,,,,,,,
1139,1992384168,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,982.0,-4.0,,,Fixation,250.0,976.0,-9.0,4.541,4.046,Valid,Valid,,,,,,,,,,,,,,,,,
1155,1992384184,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,980.0,-18.0,,,Fixation,250.0,976.0,-9.0,4.448,4.045,Valid,Valid,,,,,,,,,,,,,,,,,
1172,1992384201,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,956.0,-9.0,,,Fixation,250.0,976.0,-9.0,4.343,4.023,Valid,Valid,,,,,,,,,,,,,,,,,
1189,1992384218,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1016.0,287.0,,,Saccade,33.0,,,4.352,4.104,Valid,Valid,,,,,,,,,,,,,,,,,
1205,1992384234,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1051.0,432.0,,,Saccade,33.0,,,4.329,4.04,Valid,Valid,,,,,,,,,,,,,,,,,
1222,1992384251,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1055.0,409.0,,,Fixation,150.0,1049.0,418.0,4.384,4.044,Valid,Valid,,,,,,,,,,,,,,,,,
1239,1992384268,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1047.0,420.0,,,Fixation,150.0,1049.0,418.0,4.415,3.99,Valid,Valid,,,,,,,,,,,,,,,,,
1255,1992384284,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1044.0,442.0,,,Fixation,150.0,1049.0,418.0,4.387,4.047,Valid,Valid,,,,,,,,,,,,,,,,,
1272,1992384301,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1052.0,415.0,,,Fixation,150.0,1049.0,418.0,4.332,4.011,Valid,Valid,,,,,,,,,,,,,,,,,
1289,1992384318,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1051.0,416.0,,,Fixation,150.0,1049.0,418.0,4.343,4.003,Valid,Valid,,,,,,,,,,,,,,,,,
1305,1992384334,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1031.0,418.0,,,Fixation,150.0,1049.0,418.0,4.293,3.987,Valid,Valid,,,,,,,,,,,,,,,,,
1322,1992384351,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1044.0,417.0,,,Fixation,150.0,1049.0,418.0,4.265,3.92,Valid,Valid,,,,,,,,,,,,,,,,,
1339,1992384368,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1060.0,415.0,,,Fixation,150.0,1049.0,418.0,4.214,3.895,Valid,Valid,,,,,,,,,,,,,,,,,
1355,1992384384,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1032.0,421.0,,,Fixation,150.0,1049.0,418.0,4.126,3.903,Valid,Valid,,,,,,,,,,,,,,,,,
1372,1992384401,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1071.0,418.0,,,Saccade,17.0,,,4.216,3.875,Valid,Valid,,,,,,,,,,,,,,,,,
1389,1992384418,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1033.0,420.0,,,Fixation,83.0,1031.0,427.0,4.09,3.823,Valid,Valid,,,,,,,,,,,,,,,,,
1405,1992384434,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1025.0,422.0,,,Fixation,83.0,1031.0,427.0,4.062,3.857,Valid,Valid,,,,,,,,,,,,,,,,,
1422,1992384451,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1027.0,427.0,,,Fixation,83.0,1031.0,427.0,3.996,3.793,Valid,Valid,,,,,,,,,,,,,,,,,
1439,1992384468,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1033.0,436.0,,,Fixation,83.0,1031.0,427.0,4.038,3.788,Valid,Valid,,,,,,,,,,,,,,,,,
1455,1992384484,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1040.0,416.0,,,Fixation,83.0,1031.0,427.0,3.98,3.738,Valid,Valid,,,,,,,,,,,,,,,,,
1472,1992384501,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1020.0,542.0,,,Saccade,33.0,,,4.022,3.736,Valid,Valid,,,,,,,,,,,,,,,,,
1486,1992384515,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Saccade,33.0,,,,,,,1963.0,1799.0,,,,,,,,,,,,,,,
1489,1992384518,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1091.0,571.0,,,Saccade,33.0,,,3.945,3.727,Valid,Valid,,,,,,,,,,,,,,,,,
1500,1992384529,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,283.0,1088.0,563.0,,,,,1898.0,1767.0,,,,,,,,,,,,,,,
1505,1992384534,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1094.0,559.0,,,Fixation,283.0,1088.0,563.0,3.947,3.681,Valid,Valid,,,,,,,,,,,,,,,,,
1515,1992384543,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,283.0,1088.0,563.0,,,,,1821.0,1723.0,,,,,,,,,,,,,,,
1522,1992384551,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1097.0,555.0,,,Fixation,283.0,1088.0,563.0,3.957,3.662,Valid,Valid,,,,,,,,,,,,,,,,,
1529,1992384558,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,283.0,1088.0,563.0,,,,,1745.0,1673.0,,,,,,,,,,,,,,,
1539,1992384568,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1082.0,567.0,,,Fixation,283.0,1088.0,563.0,3.953,3.692,Valid,Valid,,,,,,,,,,,,,,,,,
1543,1992384572,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,283.0,1088.0,563.0,,,,,1683.0,1631.0,,,,,,,,,,,,,,,
1555,1992384584,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1078.0,571.0,,,Fixation,283.0,1088.0,563.0,3.937,3.708,Valid,Valid,,,,,,,,,,,,,,,,,
1557,1992384586,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,283.0,1088.0,563.0,,,,,1647.0,1603.0,,,,,,,,,,,,,,,
1571,1992384600,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,283.0,1088.0,563.0,,,,,1627.0,1585.0,,,,,,,,,,,,,,,
1572,1992384601,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1080.0,565.0,,,Fixation,283.0,1088.0,563.0,3.888,3.699,Valid,Valid,,,,,,,,,,,,,,,,,
1585,1992384614,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,283.0,1088.0,563.0,,,,,1618.0,1576.0,,,,,,,,,,,,,,,
1589,1992384618,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1091.0,565.0,,,Fixation,283.0,1088.0,563.0,3.944,3.694,Valid,Valid,,,,,,,,,,,,,,,,,
1599,1992384628,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,283.0,1088.0,563.0,,,,,1613.0,1573.0,,,,,,,,,,,,,,,
1605,1992384634,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1075.0,574.0,,,Fixation,283.0,1088.0,563.0,3.909,3.687,Valid,Valid,,,,,,,,,,,,,,,,,
1614,1992384643,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,283.0,1088.0,563.0,,,,,1612.0,1570.0,,,,,,,,,,,,,,,
1622,1992384651,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1090.0,552.0,,,Fixation,283.0,1088.0,563.0,3.926,3.657,Valid,Valid,,,,,,,,,,,,,,,,,
1639,1992384668,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1098.0,547.0,,,Fixation,283.0,1088.0,563.0,3.963,3.641,Valid,Valid,,,,,,,,,,,,,,,,,
1655,1992384684,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1096.0,568.0,,,Fixation,283.0,1088.0,563.0,3.961,3.681,Valid,Valid,,,,,,,,,,,,,,,,,
1672,1992384701,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1076.0,586.0,,,Fixation,283.0,1088.0,563.0,3.93,3.678,Valid,Valid,,,,,,,,,,,,,,,,,
1689,1992384718,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1080.0,566.0,,,Fixation,283.0,1088.0,563.0,3.963,3.641,Valid,Valid,,,,,,,,,,,,,,,,,
1705,1992384734,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1092.0,560.0,,,Fixation,283.0,1088.0,563.0,3.953,3.706,Valid,Valid,,,,,,,,,,,,,,,,,
1722,1992384751,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1076.0,569.0,,,Fixation,283.0,1088.0,563.0,3.973,3.716,Valid,Valid,,,,,,,,,,,,,,,,,
1739,1992384768,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1086.0,571.0,,,Fixation,283.0,1088.0,563.0,3.934,3.724,Valid,Valid,,,,,,,,,,,,,,,,,
1755,1992384784,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1108.0,559.0,,,Fixation,283.0,1088.0,563.0,3.945,3.641,Valid,Valid,,,,,,,,,,,,,,,,,
1772,1992384801,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1089.0,550.0,,,Fixation,283.0,1088.0,563.0,3.976,3.662,Valid,Valid,,,,,,,,,,,,,,,,,
1789,1992384818,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1136.0,629.0,,,Saccade,50.0,,,4.116,3.667,Valid,Valid,,,,,,,,,,,,,,,,,
1805,1992384834,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1266.0,723.0,,,Saccade,50.0,,,4.048,3.708,Valid,Valid,,,,,,,,,,,,,,,,,
1822,1992384851,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1360.0,751.0,,,Saccade,50.0,,,4.03,3.675,Valid,Valid,,,,,,,,,,,,,,,,,
1839,1992384868,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1332.0,754.0,,,Fixation,300.0,1345.0,758.0,4.04,3.698,Valid,Valid,,,,,,,,,,,,,,,,,
1855,1992384884,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1331.0,747.0,,,Fixation,300.0,1345.0,758.0,4.0,3.731,Valid,Valid,,,,,,,,,,,,,,,,,
1872,1992384901,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1353.0,749.0,,,Fixation,300.0,1345.0,758.0,4.092,3.692,Valid,Valid,,,,,,,,,,,,,,,,,
1878,1992384907,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,300.0,1345.0,758.0,,,,,1598.0,1559.0,,,,,,,,,,,,,,,
1889,1992384918,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1359.0,750.0,,,Fixation,300.0,1345.0,758.0,4.047,3.734,Valid,Valid,,,,,,,,,,,,,,,,,
1891,1992384920,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,300.0,1345.0,758.0,,,,,1562.0,1521.0,,,,,,,,,,,,,,,
1905,1992384934,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1346.0,759.0,,,Fixation,300.0,1345.0,758.0,4.079,3.708,Valid,Valid,,,,,,,,,,,,,,,,,
1906,1992384935,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,300.0,1345.0,758.0,,,,,1531.0,1476.0,,,,,,,,,,,,,,,
1921,1992384949,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,300.0,1345.0,758.0,,,,,1507.0,1431.0,,,,,,,,,,,,,,,
1922,1992384951,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1349.0,754.0,,,Fixation,300.0,1345.0,758.0,4.08,3.705,Valid,Valid,,,,,,,,,,,,,,,,,
1934,1992384963,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,300.0,1345.0,758.0,,,,,1488.0,1384.0,,,,,,,,,,,,,,,
1939,1992384968,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1351.0,772.0,,,Fixation,300.0,1345.0,758.0,4.089,3.714,Valid,Valid,,,,,,,,,,,,,,,,,
1949,1992384978,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,300.0,1345.0,758.0,,,,,1477.0,1347.0,,,,,,,,,,,,,,,
1955,1992384984,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1350.0,745.0,,,Fixation,300.0,1345.0,758.0,4.079,3.757,Valid,Valid,,,,,,,,,,,,,,,,,
1963,1992384992,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,300.0,1345.0,758.0,,,,,1470.0,1321.0,,,,,,,,,,,,,,,
1972,1992385001,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1346.0,757.0,,,Fixation,300.0,1345.0,758.0,4.108,3.759,Valid,Valid,,,,,,,,,,,,,,,,,
1978,1992385007,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,300.0,1345.0,758.0,,,,,1469.0,1303.0,,,,,,,,,,,,,,,
1989,1992385018,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1332.0,753.0,,,Fixation,300.0,1345.0,758.0,4.058,3.734,Valid,Valid,,,,,,,,,,,,,,,,,
1992,1992385021,Mouse,Recording3,p03,Eyetracker Calibration,,,,,,,Fixation,300.0,1345.0,758.0,,,,,1469.0,1289.0,,,,,,,,,,,,,,,
2005,1992385034,Eye Tracker,Recording3,p03,Eyetracker Calibration,,,1347.0,753.0,,,Fixation,300.0,1345.0,758.0,4.114,3.733,Valid,Valid,,,,,,,,,,,,,,,,,
