Recording	Participant	age_group	gender	Timeline	TOI	Interval	Media	calorie	AOI	product_attributes	purchase_decision	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	p01	26-33	male	Timeline1	date	1	date	low	Nutrition	specifications			699	140	83	249	5	3661	117	buy	buy	2.86794	699	140	83	249	5	3661	117	2.86794	1116	1116	1116	1116	1	3661	1116	1183	1183	1183	1183	1	3594	1183	0			0			1	3594		365.79													
Recording1	p01	26-33	male	Timeline1	date	1	date	low	picture	Picture			1261	105	28	183	12	0	28	buy	buy	2.83718	1233	112	67	183	11	45	100	2.83467	1861	372	83	1361	5	0	1361	2095	419	100	1361	5	0	1361	0			0			3	2228	2395	388.8													
Recording1	p01	26-33	male	Timeline1	date	1	date	low	price	specifications			67	67	67	67	1	2561	67	buy	buy	2.77167	67	67	67	67	1	2561	67	2.77167	67	67	67	67	1	2561	67	83	83	83	83	1	2545	83	0			0			0	2545		67.05													
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	buy		buy		22	22	22	22	1	5495	22	buy	buy	2.65632	0				0				22	22	22	22	1	5495	22	39	39	39	39	1	5478	39	1	5486		0			0																
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	ingredients	specifications			283	71	67	83	4	4244	83	buy	buy	2.68025	283	71	67	83	4	4244	83	2.68025	484	484	484	484	1	4244	484	567	567	567	567	1	4161	567	0			0			2	4161	4728	473.25													
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	name	name			717	119	83	167	6	477	133	buy	buy	2.69473	717	119	83	167	6	477	133	2.69473	983	492	383	600	2	477	383	1067	533	417	650	2	444	417	0			0			2	444		100.23													
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	not-buy		not-buy		0				0			buy	buy		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	Nutrition	specifications			317	106	67	133	3	3527	117	buy	buy	2.85704	317	106	67	133	3	3527	117	2.85704	633	633	633	633	1	3527	633	750	750	750	750	1	3411	750	0			0			0		4161														
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	picture	Picture			994	166	67	277	6	0	277	buy	buy	2.78356	716	143	67	200	5	311	133	2.78656	1061	265	183	444	4	0	444	1144	286	216	444	4	0	444	0			0			2	4728	444	300.54													
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	price	specifications			0				0			buy	buy		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	buy		buy		767	192	100	267	4	5828	233	picture		2.8977	767	192	100	267	4	5828	233	2.8977	817	408	167	650	2	5828	650	917	458	233	683	2	5795	683	1	7277	1448	0			2	5795	6945	248.7													
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	ingredients	specifications			684	137	117	183	5	1094	117	picture		2.99092	684	137	117	183	5	1094	117	2.99092	884	442	117	767	2	1094	117	1001	500	150	851	2	1061	150	0			0			1	1061	1211	118.69													
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	name	name			900	300	217	417	3	594	217	picture		2.83168	900	300	217	417	3	594	217	2.83168	917	458	217	700	2	594	217	983	492	250	733	2	561	250	0			0			1	561	811	145.27													
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	not-buy		not-buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	Nutrition	specifications			800	160	133	200	5	3677	150	picture		3.03841	800	160	133	200	5	3677	150	3.03841	1217	1217	1217	1217	1	3677	1217	1233	1233	1233	1233	1	3661	1233	0			0			0																
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	picture	Picture			1283	160	67	283	8	28	150	picture		2.82075	1283	160	67	283	8	28	150	2.82075	1683	421	117	750	4	28	533	1827	457	167	767	4	0	561	0			0			2	6945	561	388.6													
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	price	specifications			267	133	83	183	2	1278	183	picture		2.90706	267	133	83	183	2	1278	183	2.90706	317	317	317	317	1	1278	317	384	384	384	384	1	1211	384	0			0			0	1211	1595	66.58													
