Recording	Participant	age_group	gender	Timeline	TOI	Interval	Media	calorie	AOI	product_attributes	purchase_decision	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording2	P2	33-45	female	Timeline1	date	1	date	low	Nutrition	specifications			767	110	67	250	7	2594	67	picture	picture	2.81074	767	110	67	250	7	2594	67	2.81074	1366	683	67	1299	2	2594	67	1433	716	117	1316	2	2544	117	0			0			1		6044														
Recording2	P2	33-45	female	Timeline1	date	1	date	low	picture	Picture			717	143	40	260	5	0	260	picture	picture	2.83214	417	139	67	200	3	344	150	2.75935	800	200	40	494	4	0	494	900	225	56	494	4	0	494	0			0			0	3444		170.27													
Recording2	P2	33-45	female	Timeline1	date	1	date	low	price	specifications			0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording2	P2	33-45	female	Timeline1	ice-cream	1	ice-cream	high	buy		buy		367	183	133	233	2	9574	133	name	name	2.99268	367	183	133	233	2	9574	133	2.99268	484	484	484	484	1	9574	484	501	501	501	501	1	9557	501	1	10192	618	0			0		10057														
Recording2	P2	33-45	female	Timeline1	ice-cream	1	ice-cream	high	ingredients	specifications			783	196	150	233	4	4457	150	name	name	2.96796	783	196	150	233	4	4457	150	2.96796	950	950	950	950	1	4457	950	983	983	983	983	1	4424	983	0			0			2	4424		58.86													
Recording2	P2	33-45	female	Timeline1	ice-cream	1	ice-cream	high	name	name			776	155	117	233	5	341	167	name	name	2.79308	650	163	117	233	4	341	167	2.75781	793	198	117	417	4	341	417	1043	261	167	500	4	257	500	0			0			1	1541	757	86.49													
Recording2	P2	33-45	female	Timeline1	ice-cream	1	ice-cream	high	not-buy		not-buy		0				0			name	name		0				0				0				0			0				0			0			0			0																
Recording2	P2	33-45	female	Timeline1	ice-cream	1	ice-cream	high	Nutrition	specifications			233	117	100	133	2	8041	100	name	name	2.81975	233	117	100	133	2	8041	100	2.81975	233	117	100	133	2	8041	100	350	175	150	200	2	7941	200	0			0			0	7941		306.66													
Recording2	P2	33-45	female	Timeline1	ice-cream	1	ice-cream	high	picture	Picture			2258	161	57	317	14	0	57	name	name	2.74995	2200	169	67	317	13	74	133	2.74841	2908	582	133	1533	5	0	207	3174	635	207	1600	5	0	207	0			0			5	3291	7157	160.43													
Recording2	P2	33-45	female	Timeline1	ice-cream	1	ice-cream	high	price	specifications			200	200	200	200	1	4224	200	name	name	2.92482	200	200	200	200	1	4224	200	2.92482	200	200	200	200	1	4224	200	217	217	217	217	1	4207	217	0			0			0		4424														
Recording2	P2	33-45	female	Timeline1	pizza	1	pizza	high	buy		buy		400	200	83	317	2	4707	83	not-buy		2.93434	400	200	83	317	2	4707	83	2.93434	417	417	417	417	1	4707	417	500	500	500	500	1	4623	500	0			0			1	4623	5123	244.87													
Recording2	P2	33-45	female	Timeline1	pizza	1	pizza	high	ingredients	specifications			167	167	167	167	1	4140	167	not-buy		3.03785	167	167	167	167	1	4140	167	3.03785	167	167	167	167	1	4140	167	233	233	233	233	1	4073	233	0			0			0	4073		63.56													
Recording2	P2	33-45	female	Timeline1	pizza	1	pizza	high	name	name			433	433	433	433	1	2806	433	not-buy		2.79498	433	433	433	433	1	2806	433	2.79498	433	433	433	433	1	2806	433	483	483	483	483	1	2756	483	0			0			0	2756	3239	145.17													
Recording2	P2	33-45	female	Timeline1	pizza	1	pizza	high	not-buy		not-buy		617	154	100	233	4	5290	100	not-buy		2.91687	617	154	100	233	4	5290	100	2.91687	833	833	833	833	1	5290	833	867	867	867	867	1	5257	867	1	6115	825	0			1	5257		102.49													
Recording2	P2	33-45	female	Timeline1	pizza	1	pizza	high	Nutrition	specifications			1166	194	83	433	6	990	183	not-buy		2.87039	1166	194	83	433	6	990	183	2.87039	1383	1383	1383	1383	1	990	1383	1450	1450	1450	1450	1	923	1450	0			0			3	923		362.32													
Recording2	P2	33-45	female	Timeline1	pizza	1	pizza	high	picture	Picture			873	175	67	423	5	0	423	not-buy		2.81225	450	113	67	183	4	456	67	2.79946	940	313	133	523	3	0	523	1007	336	184	523	3	0	523	0			0			2		2756														
Recording2	P2	33-45	female	Timeline1	pizza	1	pizza	high	price	specifications			133	133	133	133	1	3940	133	not-buy		3.06919	133	133	133	133	1	3940	133	3.06919	133	133	133	133	1	3940	133	150	150	150	150	1	3923	150	0			0			0	3923	4073	109.71													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		117	117	117	117	1	102974	117	picture		2.75877	117	117	117	117	1	102974	117	2.75877	117	117	117	117	1	102974	117	133	133	133	133	1	102957	133	1	103298	324	0			0																
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		217	217	217	217	1	93787	217	picture		2.90886	217	217	217	217	1	93787	217	2.90886	217	217	217	217	1	93787	217	234	234	234	234	1	93770	234	1	94219	432	0			0		94004														
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		417	104	83	150	4	72019	150	picture		2.63221	417	104	83	150	4	72019	150	2.63221	701	701	701	701	1	72019	701	717	717	717	717	1	72003	717	1	72995	976	0			1																
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		367	183	133	233	2	84287	133	picture		2.99268	367	183	133	233	2	84287	133	2.99268	484	484	484	484	1	84287	484	501	501	501	501	1	84270	501	1	84905	618	0			0		84771														
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		400	200	83	317	2	62787	83	picture		2.93434	400	200	83	317	2	62787	83	2.93434	417	417	417	417	1	62787	417	500	500	500	500	1	62703	500	0			0			1	62703	63203	244.87													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			0				0			picture			0				0				0				0			0				0			0			0			0																
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			516	258	250	267	2	92821	267	picture		2.84823	516	258	250	267	2	92821	267	2.84823	583	583	583	583	1	92821	583	600	600	600	600	1	92804	600	0			0			0	92804		77.82													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			83	83	83	83	1	68087	83	picture		2.64098	83	83	83	83	1	68087	83	2.64098	83	83	83	83	1	68087	83	117	117	117	117	1	68053	117	0			0			0	68053	68170	38.98													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			783	196	150	233	4	79171	150	picture		2.96796	783	196	150	233	4	79171	150	2.96796	950	950	950	950	1	79171	950	983	983	983	983	1	79137	983	0			0			2	79137		58.86													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			167	167	167	167	1	62220	167	picture		3.03785	167	167	167	167	1	62220	167	3.03785	167	167	167	167	1	62220	167	233	233	233	233	1	62153	233	0			0			0	62153		63.56													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			1000	167	83	233	6	96707	233	picture		2.74569	1000	167	83	233	6	96707	233	2.74569	1283	1283	1283	1283	1	96707	1283	1300	1300	1300	1300	1	96690	1300	0			0			3																
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			743	248	176	317	3	86087	317	picture		2.96448	567	283	250	317	2	86087	317	2.9879	743	248	176	317	3	86087	317	859	286	243	333	3	86071	333	0			0			0	86071	89637	90.85													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			876	125	10	233	7	66636	233	picture		2.70263	866	144	67	233	6	66636	233	2.70163	893	149	10	233	6	66636	233	1110	185	27	317	6	66620	250	0			0			1	66620	66870	47.96													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			776	155	117	233	5	75054	167	picture		2.79308	650	163	117	233	4	75054	167	2.75781	793	198	117	417	4	75054	417	1043	261	167	500	4	74971	500	0			0			1	76254	75471	86.49													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			433	433	433	433	1	60886	433	picture		2.79498	433	433	433	433	1	60886	433	2.79498	433	433	433	433	1	60886	433	483	483	483	483	1	60836	483	0			0			0	60836	61319	145.17													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		617	154	100	233	4	63370	100	picture		2.91687	617	154	100	233	4	63370	100	2.91687	833	833	833	833	1	63370	833	867	867	867	867	1	63337	867	1	64195	825	0			1	63337	64203	102.49													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			767	110	67	250	7	98624	67	picture		2.81074	767	110	67	250	7	98624	67	2.81074	1366	683	67	1299	2	98624	67	1433	716	117	1316	2	98574	117	0			0			1		102074														
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			1300	108	67	183	12	89720	116	picture		2.81773	1300	108	67	183	12	89720	116	2.81773	2467	1233	1083	1383	2	89720	1083	2600	1300	1166	1433	2	89637	1166	0			0			6	89637		360.11													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			566	142	117	166	4	69553	166	picture		2.68287	566	142	117	166	4	69553	166	2.68287	1016	1016	1016	1016	1	69553	1016	1033	1033	1033	1033	1	69537	1033	0			0			1		70569														
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			233	117	100	133	2	82754	100	picture		2.81975	233	117	100	133	2	82754	100	2.81975	233	117	100	133	2	82754	100	350	175	150	200	2	82654	200	0			0			0	82654		306.66													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			1166	194	83	433	6	59070	183	picture		2.87039	1166	194	83	433	6	59070	183	2.87039	1383	1383	1383	1383	1	59070	1383	1450	1450	1450	1450	1	59003	1450	0			0			3	59003		362.32													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			717	143	40	260	5	96030	260	picture		2.83214	417	139	67	200	3	96374	150	2.75935	800	200	40	494	4	96030	494	900	225	56	494	4	96030	494	0			0			0	99474		170.27													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			1457	182	100	333	8	85530	324	picture		3.06901	1133	162	100	333	7	86487	117	3.08465	2041	1020	324	1717	2	85530	324	2091	1045	324	1767	2	85530	324	0			0			2		85854														
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			883	126	67	300	7	66169	83	picture		2.57666	883	126	67	300	7	66169	83	2.57666	1133	378	183	650	3	66169	183	1250	417	200	667	3	66153	200	0			0			3	66153	70953	58.73													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			2258	161	57	317	14	74713	57	picture		2.74995	2200	169	67	317	13	74787	133	2.74841	2908	582	133	1533	5	74713	207	3174	635	207	1600	5	74713	207	0			0			5	78004	81871	160.43													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			873	175	67	423	5	58080	423	picture		2.81225	450	113	67	183	4	58536	67	2.79946	940	313	133	523	3	58080	523	1007	336	184	523	3	58080	523	0			0			2		60836														
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	price	specifications			0				0			picture			0				0				0				0			0				0			0			0			0																
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	price	specifications			0				0			picture			0				0				0				0			0				0			0			0			0																
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	price	specifications			67	67	67	67	1	68603	67	picture		2.65322	67	67	67	67	1	68603	67	2.65322	67	67	67	67	1	68603	67	100	100	100	100	1	68570	100	0			0			0	68570	68670	55.78													
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	price	specifications			200	200	200	200	1	78937	200	picture		2.92482	200	200	200	200	1	78937	200	2.92482	200	200	200	200	1	78937	200	217	217	217	217	1	78921	217	0			0			0		79137														
Recording2	P2	33-45	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	price	specifications			133	133	133	133	1	62020	133	picture		3.06919	133	133	133	133	1	62020	133	3.06919	133	133	133	133	1	62020	133	150	150	150	150	1	62003	150	0			0			0	62003	62153	109.71													
Recording3	p03	18-25	female	Timeline1	cake	1	cake	high	buy		buy		133	133	133	133	1	9012	133	picture	picture	2.94091	133	133	133	133	1	9012	133	2.94091	133	133	133	133	1	9012	133	183	183	183	183	1	8962	183	1	9283	271	0			0		9146														
Recording3	p03	18-25	female	Timeline1	cake	1	cake	high	ingredients	specifications			0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	cake	1	cake	high	name	name			2220	202	100	533	11	874	250	picture	picture	2.88982	2220	202	100	533	11	874	250	2.88982	2638	659	350	854	4	874	854	2788	697	383	904	4	824	904	0			0			5	4545	1728	34.21													
Recording3	p03	18-25	female	Timeline1	cake	1	cake	high	not-buy		not-buy		0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	cake	1	cake	high	Nutrition	specifications			200	100	67	133	2	625	133	picture	picture	3.00556	200	100	67	133	2	625	133	3.00556	200	100	67	133	2	625	133	350	175	150	200	2	558	200	0			0			0	558		238.97													
Recording3	p03	18-25	female	Timeline1	cake	1	cake	high	picture	Picture			2896	161	67	467	18	0	275	picture	picture	2.88534	2516	157	67	467	16	3095	117	2.88863	3979	796	104	2117	5	0	275	4179	836	171	2133	5	0	275	0			0			5	5162	4112	341.31													
Recording3	p03	18-25	female	Timeline1	cake	1	cake	high	price	specifications			0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	cereal	1	cereal	low	buy		buy		0				0			Nutrition	Nutrition		0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	cereal	1	cereal	low	ingredients	specifications			883	177	83	333	5	3581	133	Nutrition	Nutrition	2.81207	883	177	83	333	5	3581	133	2.81207	1150	575	133	1017	2	3581	133	1267	633	233	1033	2	3481	233	0			0			0																
Recording3	p03	18-25	female	Timeline1	cereal	1	cereal	low	name	name			366	183	166	200	2	1031	166	Nutrition	Nutrition	2.70726	366	183	166	200	2	1031	166	2.70726	383	383	383	383	1	1031	383	400	400	400	400	1	1015	400	0			0			1		1415														
Recording3	p03	18-25	female	Timeline1	cereal	1	cereal	low	not-buy		not-buy		200	200	200	200	1	7219	200	Nutrition	Nutrition	2.9155	200	200	200	200	1	7219	200	2.9155	200	200	200	200	1	7219	200	217	217	217	217	1	7203	217	1	8426	1206	0			0																
Recording3	p03	18-25	female	Timeline1	cereal	1	cereal	low	Nutrition	specifications			1797	128	83	217	14	1765	100	Nutrition	Nutrition	2.82331	1650	127	83	217	13	1765	100	2.81641	2964	741	133	1667	4	1765	1667	3097	774	150	1683	4	1748	1683	0			0			4	8236		353.71													
Recording3	p03	18-25	female	Timeline1	cereal	1	cereal	low	picture	Picture			865	173	67	415	5	0	415	Nutrition	Nutrition	2.70742	450	113	67	167	4	615	67	2.71087	1215	405	133	915	3	0	915	1331	444	200	915	3	0	915	0			0			0	1415	8236	197.76													
Recording3	p03	18-25	female	Timeline1	cereal	1	cereal	low	price	specifications			0				0			Nutrition	Nutrition		0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	date	1	date	low	buy		buy		0				0			not-buy	not-buy		0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	date	1	date	low	ingredients	specifications			467	156	134	183	3	3541	134	not-buy	not-buy	2.83646	467	156	134	183	3	3541	134	2.83646	801	400	134	667	2	3541	134	1034	517	217	817	2	3458	217	0			0			0		8842														
Recording3	p03	18-25	female	Timeline1	date	1	date	low	name	name			1167	292	117	634	4	452	634	not-buy	not-buy	2.82281	1167	292	117	634	4	452	634	2.82281	1250	625	433	817	2	452	817	1350	675	517	834	2	436	834	0			0			2	4275		415.13													
Recording3	p03	18-25	female	Timeline1	date	1	date	low	not-buy		not-buy		158	79	75	83	2	6341	83	not-buy	not-buy	2.87027	83	83	83	83	1	6341	83	2.92875	158	79	75	83	2	6341	83	242	121	100	142	2	6324	100	1	9250	2909	0			0																
Recording3	p03	18-25	female	Timeline1	date	1	date	low	Nutrition	specifications			1833	108	67	200	17	1519	100	not-buy	not-buy	2.90096	1833	108	67	200	17	1519	100	2.90096	3921	1307	1100	1655	3	1519	1655	4038	1346	1133	1705	3	1469	1705	0			0			6	1469		309.85													
Recording3	p03	18-25	female	Timeline1	date	1	date	low	picture	Picture			552	184	117	286	3	0	286	not-buy	not-buy	2.86913	267	133	117	150	2	1319	150	2.80819	552	184	117	286	3	0	286	652	217	167	286	3	0	286	0			0			0	8842	1469	416.29													
Recording3	p03	18-25	female	Timeline1	date	1	date	low	price	specifications			333	167	100	233	2	3891	100	not-buy	not-buy	2.93823	333	167	100	233	2	3891	100	2.93823	383	383	383	383	1	3891	383	400	400	400	400	1	3875	400	0			0			0		4275														
Recording3	p03	18-25	female	Timeline1	ice-cream	1	ice-cream	high	buy		buy		133	133	133	133	1	3315	133	picture	picture	2.93449	133	133	133	133	1	3315	133	2.93449	133	133	133	133	1	3315	133	150	150	150	150	1	3298	150	1	5840	2526	0			0																
Recording3	p03	18-25	female	Timeline1	ice-cream	1	ice-cream	high	ingredients	specifications			0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	ice-cream	1	ice-cream	high	name	name			1588	176	83	317	9	477	317	picture	picture	2.8701	1588	176	83	317	9	477	317	2.8701	1722	344	267	433	5	477	317	1838	368	300	467	5	460	333	0			0			2	460		93.65													
Recording3	p03	18-25	female	Timeline1	ice-cream	1	ice-cream	high	not-buy		not-buy		0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	ice-cream	1	ice-cream	high	Nutrition	specifications			183	183	183	183	1	5415	183	picture	picture	2.78639	183	183	183	183	1	5415	183	2.78639	183	183	183	183	1	5415	183	216	216	216	216	1	5382	216	0			0			0																
Recording3	p03	18-25	female	Timeline1	ice-cream	1	ice-cream	high	picture	Picture			1085	121	67	167	9	10	167	picture	picture	2.85687	967	121	67	167	8	10	167	2.87123	1419	284	119	517	5	10	450	1545	309	167	533	5	0	460	0			0			1		460														
Recording3	p03	18-25	female	Timeline1	ice-cream	1	ice-cream	high	price	specifications			0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	pizza	1	pizza	high	buy		buy		667	167	67	267	4	4210	183	picture	picture	2.99013	667	167	67	267	4	4210	183	2.99013	717	239	67	500	3	4210	500	817	272	83	550	3	4160	550	1	9770	5560	0			0	4160	6910	357.92													
Recording3	p03	18-25	female	Timeline1	pizza	1	pizza	high	ingredients	specifications			317	106	67	134	3	3793	134	picture	picture	2.82775	317	106	67	134	3	3793	134	2.82775	317	106	67	134	3	3793	134	450	150	83	234	3	3693	234	0			0			0	3693		313.77													
Recording3	p03	18-25	female	Timeline1	pizza	1	pizza	high	name	name			1334	191	67	633	7	1042	84	picture	picture	2.94477	1250	208	67	633	6	3576	117	2.95427	1434	358	84	1033	4	1042	84	1517	379	84	1050	4	1042	84	0			0			2	3543	3693	73.52													
Recording3	p03	18-25	female	Timeline1	pizza	1	pizza	high	not-buy		not-buy		100	100	100	100	1	1909	100	picture	picture	3.00173	100	100	100	100	1	1909	100	3.00173	100	100	100	100	1	1909	100	133	133	133	133	1	1876	133	0			0			0																
Recording3	p03	18-25	female	Timeline1	pizza	1	pizza	high	Nutrition	specifications			450	150	83	250	3	2593	117	picture	picture	2.93216	450	150	83	250	3	2593	117	2.93216	700	350	250	450	2	2593	450	800	400	333	466	2	2576	466	0			0			0		5210														
Recording3	p03	18-25	female	Timeline1	pizza	1	pizza	high	picture	Picture			2497	166	83	367	15	0	174	picture	picture	2.894	2217	171	83	367	13	190	83	2.90641	2931	266	83	583	11	0	507	3431	312	100	600	11	0	507	0			0			1	5210	1393	374.86													
Recording3	p03	18-25	female	Timeline1	pizza	1	pizza	high	price	specifications			83	83	83	83	1	4077	83	picture	picture	2.77363	83	83	83	83	1	4077	83	2.77363	83	83	83	83	1	4077	83	100	100	100	100	1	4060	100	0			0			0		4160														
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		133	133	133	133	1	106598	133	picture		2.94091	133	133	133	133	1	106598	133	2.94091	133	133	133	133	1	106598	133	183	183	183	183	1	106548	183	1	106869	271	0			0		106731														
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		133	133	133	133	1	73850	133	picture		2.93449	133	133	133	133	1	73850	133	2.93449	133	133	133	133	1	73850	133	150	150	150	150	1	73833	150	1	76376	2526	0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		667	167	67	267	4	64612	183	picture		2.99013	667	167	67	267	4	64612	183	2.99013	717	239	67	500	3	64612	500	817	272	83	550	3	64562	550	1	70172	5560	0			0	64562	67312	357.92													
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			467	156	134	183	3	91276	134	picture		2.83646	467	156	134	183	3	91276	134	2.83646	801	400	134	667	2	91276	134	1034	517	217	817	2	91193	217	0			0			0		96577														
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			0				0			picture			0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			883	177	83	333	5	80617	133	picture		2.81207	883	177	83	333	5	80617	133	2.81207	1150	575	133	1017	2	80617	133	1267	633	233	1033	2	80517	233	0			0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			0				0			picture			0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			317	106	67	134	3	64195	134	picture		2.82775	317	106	67	134	3	64195	134	2.82775	317	106	67	134	3	64195	134	450	150	83	234	3	64095	234	0			0			0	64095		313.77													
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			1167	292	117	634	4	88188	634	picture		2.82281	1167	292	117	634	4	88188	634	2.82281	1250	625	433	817	2	88188	817	1350	675	517	834	2	88171	834	0			0			2	92010		415.13													
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			2220	202	100	533	11	98460	250	picture		2.88982	2220	202	100	533	11	98460	250	2.88982	2638	659	350	854	4	98460	854	2788	697	383	904	4	98409	904	0			0			5	102130	99314	34.21													
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			366	183	166	200	2	78067	166	picture		2.70726	366	183	166	200	2	78067	166	2.70726	383	383	383	383	1	78067	383	400	400	400	400	1	78050	400	0			0			1		78450														
