Recording	Participant	Timeline	TOI	Interval	Media	Food_Category	AOI	Decision	Product_element	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording2	Participant 2	Timeline1	Cereals	1	Cereals	Meal	Nutrition Label		Nutrition Label		6408	401	68	1188	16	5567	188	I would buy	I would buy		6408	401	68	1188	16	5567	188		6804	6804	6804	6804	1	5567	6804	6904	6904	6904	6904	1	5467	6904	0			0			15	5467	12371	375.06					Aggregated								
Recording2	Participant 2	Timeline1	Cereals	1	Cereals	Meal	Picture		Picture		583	194	124	279	3	0	279	I would buy	I would buy		304	152	124	180	2	311	124		615	308	180	435	2	0	435	655	328	220	435	2	0	435	0			0			1	1303	435	157.65					Aggregated								
Recording2	Participant 2	Timeline1	Cereals	1	Cereals	Meal	Price		Price		0				0			I would buy	I would buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Chips	1	Chips	Snack	I would buy	I would buy			0				0			I would not buy			0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Chips	1	Chips	Snack	I would not buy	I would not buy			424	212	192	232	2	3542	232	I would not buy			424	212	192	232	2	3542	232		444	444	444	444	1	3542	444	528	528	528	528	1	3458	528	1	4003	461	0			1	3458		362.8					Aggregated								
Recording2	Participant 2	Timeline1	Chips	1	Chips	Snack	Ingredients		Ingredients		972	324	204	548	3	1318	220	I would not buy			972	324	204	548	3	1318	220		1036	1036	1036	1036	1	1318	1036	1104	1104	1104	1104	1	1250	1104	0			0			2	1250	2354	201.44					Aggregated								
Recording2	Participant 2	Timeline1	Chips	1	Chips	Snack	Nutrition Label		Nutrition Label		940	313	152	512	3	2458	152	I would not buy			940	313	152	512	3	2458	152		1000	1000	1000	1000	1	2458	1000	1104	1104	1104	1104	1	2354	1104	0			0			2	2354	3458	361.02					Aggregated								
Recording2	Participant 2	Timeline1	Chips	1	Chips	Snack	Picture		Picture		654	218	112	368	3	0	174	I would not buy			480	240	112	368	2	202	112		682	341	314	368	2	0	314	730	365	314	416	2	0	314	0			0			1	834	314	210.73					Aggregated								
Recording2	Participant 2	Timeline1	Chips	1	Chips	Snack	Price		Price		0				0			I would not buy			0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Chocolate bar	1	Chocolate bar	Snack	I would buy	I would buy			156	156	156	156	1	7818	156	I would not buy			156	156	156	156	1	7818	156		156	156	156	156	1	7818	156	204	204	204	204	1	7770	204	0			0			0	7770	7974	317.17					Aggregated								
Recording2	Participant 2	Timeline1	Chocolate bar	1	Chocolate bar	Snack	I would not buy	I would not buy			824	275	156	508	3	7614	156	I would not buy			824	275	156	508	3	7614	156		856	428	156	700	2	7614	156	956	478	212	744	2	7558	212	1	8708	1094	0			1	7558	7770	370.09					Aggregated								
Recording2	Participant 2	Timeline1	Chocolate bar	1	Chocolate bar	Snack	Ingredients		Ingredients		3248	271	100	508	12	1498	244	I would not buy			3248	271	100	508	12	1498	244		3496	1748	244	3252	2	1498	244	3664	1832	308	3356	2	1434	308	0			0			10	1434	1742	209.3					Aggregated								
Recording2	Participant 2	Timeline1	Chocolate bar	1	Chocolate bar	Snack	Nutrition Label		Nutrition Label		2216	317	148	748	7	1830	148	I would not buy			2216	317	148	748	7	1830	148		2372	2372	2372	2372	1	1830	2372	2460	2460	2460	2460	1	1742	2460	0			0			6	1742	4202	389.65					Aggregated								
Recording2	Participant 2	Timeline1	Chocolate bar	1	Chocolate bar	Snack	Picture		Picture		538	269	202	336	2	0	202	I would not buy			336	336	336	336	1	1098	336		538	269	202	336	2	0	202	582	291	202	380	2	0	202	0			0			0	1054	202	189.84					Aggregated								
Recording2	Participant 2	Timeline1	Chocolate bar	1	Chocolate bar	Snack	Price		Price		0				0			I would not buy			0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	I would buy	I would buy			0				0			Picture	Picture		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	I would not buy	I would not buy			360	180	152	208	2	3336	152	Picture	Picture		360	180	152	208	2	3336	152		384	384	384	384	1	3336	384	444	444	444	444	1	3276	444	1	3780	445	0			1	3276	3720	335.55					Aggregated								
Recording2	Participant 2	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	Ingredients		Ingredients		568	189	76	280	3	2664	280	Picture	Picture		568	189	76	280	3	2664	280		612	612	612	612	1	2664	612	668	668	668	668	1	2608	668	0			0			2	2608	3276	242.27					Aggregated								
Recording2	Participant 2	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	Nutrition Label		Nutrition Label		0				0			Picture	Picture		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	Picture		Picture		1612	230	16	348	7	220	116	Picture	Picture		1596	266	116	348	6	220	116		1736	579	16	1228	3	220	492	1864	621	84	1272	3	204	508	0			0			4	1336	712	203.92					Aggregated								
Recording2	Participant 2	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	Price		Price		0				0			Picture	Picture		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Ice cream	1	Ice cream	Dessert	I would buy	I would buy			0				0			I would not buy			0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Ice cream	1	Ice cream	Dessert	I would not buy	I would not buy			656	219	172	252	3	4368	232	I would not buy			656	219	172	252	3	4368	232		704	704	704	704	1	4368	704	788	788	788	788	1	4284	788	1	5078	709	0			2	4284		410.12					Aggregated								
Recording2	Participant 2	Timeline1	Ice cream	1	Ice cream	Dessert	Ingredients		Ingredients		0				0			I would not buy			0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Ice cream	1	Ice cream	Dessert	Nutrition Label		Nutrition Label		2844	356	132	684	8	1256	164	I would not buy			2844	356	132	684	8	1256	164		3028	3028	3028	3028	1	1256	3028	3088	3088	3088	3088	1	1196	3088	0			0			7	1196	4284	331.46					Aggregated								
Recording2	Participant 2	Timeline1	Ice cream	1	Ice cream	Dessert	Picture		Picture		572	286	252	320	2	0	320	I would not buy			252	252	252	252	1	944	252		572	286	252	320	2	0	320	616	308	296	320	2	0	320	0			0			0	900	320	191.66					Aggregated								
Recording2	Participant 2	Timeline1	Ice cream	1	Ice cream	Dessert	Price		Price		0				0			I would not buy			0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Oat cookies	1	Oat cookies	Dessert	I would buy	I would buy			596	199	156	244	3	8172	156	Nutrition Label	Nutrition Label		596	199	156	244	3	8172	156		640	640	640	640	1	8172	640	700	700	700	700	1	8112	700	1	9294	1122	0			2	8112	8812	274.2					Aggregated								
Recording2	Participant 2	Timeline1	Oat cookies	1	Oat cookies	Dessert	I would not buy	I would not buy			0				0			Nutrition Label	Nutrition Label		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Oat cookies	1	Oat cookies	Dessert	Ingredients		Ingredients		2528	316	204	552	8	1596	204	Nutrition Label	Nutrition Label		2528	316	204	552	8	1596	204		2688	2688	2688	2688	1	1596	2688	2756	2756	2756	2756	1	1528	2756	0			0			7	1528	4284	223.78					Aggregated								
Recording2	Participant 2	Timeline1	Oat cookies	1	Oat cookies	Dessert	Nutrition Label		Nutrition Label		3914	280	132	512	14	4380	132	Nutrition Label	Nutrition Label		3656	281	132	512	13	4380	132		4194	2097	462	3732	2	4380	3732	4342	2171	514	3828	2	4284	3828	0			0			12	4284	8112	392.06					Aggregated								
Recording2	Participant 2	Timeline1	Oat cookies	1	Oat cookies	Dessert	Picture		Picture		584	292	240	344	2	0	240	Nutrition Label	Nutrition Label		344	344	344	344	1	1184	344		584	292	240	344	2	0	240	628	314	240	388	2	0	240	0			0			0	1140	1528	156.12					Aggregated								
Recording2	Participant 2	Timeline1	Oat cookies	1	Oat cookies	Dessert	Price		Price		0				0			Nutrition Label	Nutrition Label		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Pistachios	1	Pistachios	Snack	I would buy	I would buy			808	269	112	464	3	2086	464	Picture			808	269	112	464	3	2086	464		860	860	860	860	1	2086	860	908	908	908	908	1	2038	908	1	3503	1417	0			2	2038	2946	305.08					Aggregated								
Recording2	Participant 2	Timeline1	Pistachios	1	Pistachios	Snack	I would not buy	I would not buy			268	134	108	160	2	1746	160	Picture			268	134	108	160	2	1746	160		292	292	292	292	1	1746	292	356	356	356	356	1	1682	356	0			0			1	1682	2038	293.56					Aggregated								
Recording2	Participant 2	Timeline1	Pistachios	1	Pistachios	Snack	Ingredients		Ingredients		0				0			Picture			0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Pistachios	1	Pistachios	Snack	Nutrition Label		Nutrition Label		0				0			Picture			0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Pistachios	1	Pistachios	Snack	Picture		Picture		1270	254	112	632	5	0	202	Picture			1068	267	112	632	4	242	112		1334	445	348	632	3	0	354	1498	499	354	680	3	0	354	0			0			2	1002	354	195.01					Aggregated								
Recording2	Participant 2	Timeline1	Pistachios	1	Pistachios	Snack	Price		Price		0				0			Picture			0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Pizza	1	Pizza	Meal	I would buy	I would buy			0				0			I would not buy	I would not buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Pizza	1	Pizza	Meal	I would not buy	I would not buy			1280	256	76	396	5	6486	192	I would not buy	I would not buy		1204	301	192	396	4	6486	192		1372	1372	1372	1372	1	6486	1372	1440	1440	1440	1440	1	6418	1440	1	7820	1334	0			4	6418		335.04					Aggregated								
Recording2	Participant 2	Timeline1	Pizza	1	Pizza	Meal	Ingredients		Ingredients		3652	304	128	716	12	2570	396	I would not buy	I would not buy		3652	304	128	716	12	2570	396		3848	3848	3848	3848	1	2570	3848	3928	3928	3928	3928	1	2490	3928	0			0			11	2490	6418	237.73					Aggregated								
Recording2	Participant 2	Timeline1	Pizza	1	Pizza	Meal	Nutrition Label		Nutrition Label		0				0			I would not buy	I would not buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Pizza	1	Pizza	Meal	Picture		Picture		1508	302	96	512	5	62	244	I would not buy	I would not buy		1508	302	96	512	5	62	244		1624	812	404	1220	2	62	404	1676	838	416	1260	2	50	416	0			0			3	1230	466	194.84					Aggregated								
Recording2	Participant 2	Timeline1	Pizza	1	Pizza	Meal	Price		Price		0				0			I would not buy	I would not buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Soup	1	Soup	Meal	I would buy	I would buy			4509	564	61	1972	8	15510	228	I would buy	I would buy		4448	635	228	1972	7	15510	228		4653	2327	1997	2656	2	15510	2656	4749	2375	2045	2704	2	15462	2704	1	21061	5550	0			6	15462	18167	313.68					Aggregated								
Recording2	Participant 2	Timeline1	Soup	1	Soup	Meal	I would not buy	I would not buy			764	255	172	340	3	18231	252	I would buy	I would buy		764	255	172	340	3	18231	252		812	812	812	812	1	18231	812	876	876	876	876	1	18167	876	0			0			2	18167	19043	271.84					Aggregated								
Recording2	Participant 2	Timeline1	Soup	1	Soup	Meal	Ingredients		Ingredients		7400	308	156	576	24	2022	164	I would buy	I would buy		7400	308	156	576	24	2022	164		7888	3944	164	7724	2	2022	164	7972	3986	232	7740	2	1954	232	0			0			22	1954	2186	230.59					Aggregated								
Recording2	Participant 2	Timeline1	Soup	1	Soup	Meal	Nutrition Label		Nutrition Label		4968	452	208	1468	11	10198	260	I would buy	I would buy		4968	452	208	1468	11	10198	260		5264	5264	5264	5264	1	10198	5264	5392	5392	5392	5392	1	10070	5392	0			0			9	10070	15462	364.05					Aggregated								
Recording2	Participant 2	Timeline1	Soup	1	Soup	Meal	Picture		Picture		1014	203	128	310	5	0	310	I would buy	I would buy		704	176	128	264	4	330	264		1074	537	328	746	2	0	746	1122	561	376	746	2	0	746	0			0			3	1578	746	198.41					Aggregated								
Recording2	Participant 2	Timeline1	Soup	1	Soup	Meal	Price		Price		0				0			I would buy	I would buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Vegan ice cream	1	Vegan ice cream	Dessert	I would buy	I would buy			454	454	454	454	1	2565	454	I would buy	I would buy		0				0				454	454	454	454	1	2565	454	554	554	554	554	1	2465	554	1	2991	425	0			0	2465		438.35					Aggregated								
Recording2	Participant 2	Timeline1	Vegan ice cream	1	Vegan ice cream	Dessert	I would not buy	I would not buy			0				0			I would buy	I would buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Vegan ice cream	1	Vegan ice cream	Dessert	Ingredients		Ingredients		0				0			I would buy	I would buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Vegan ice cream	1	Vegan ice cream	Dessert	Nutrition Label		Nutrition Label		0				0			I would buy	I would buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Vegan ice cream	1	Vegan ice cream	Dessert	Picture		Picture		1049	262	120	544	4	0	213	I would buy	I would buy		836	279	120	544	3	245	172		1129	565	544	585	2	0	585	1169	585	584	585	2	0	585	0			0			2	1881	585	210.47					Aggregated								
Recording2	Participant 2	Timeline1	Vegan ice cream	1	Vegan ice cream	Dessert	Price		Price		0				0			I would buy	I would buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Veggie crisps	1	Veggie crisps	Snack	I would buy	I would buy			96	96	96	96	1	5455	96	Picture	Picture		96	96	96	96	1	5455	96		96	96	96	96	1	5455	96	140	140	140	140	1	5411	140	0			0			0	5411	5551	326.79					Aggregated								
Recording2	Participant 2	Timeline1	Veggie crisps	1	Veggie crisps	Snack	I would not buy	I would not buy			624	208	140	244	3	5271	140	Picture	Picture		624	208	140	244	3	5271	140		648	324	140	508	2	5271	140	756	378	204	552	2	5207	204	1	6220	949	0			1	5207	5411	347.4					Aggregated								
Recording2	Participant 2	Timeline1	Veggie crisps	1	Veggie crisps	Snack	Ingredients		Ingredients		1224	245	176	340	5	3911	260	Picture	Picture		1224	245	176	340	5	3911	260		1296	1296	1296	1296	1	3911	1296	1368	1368	1368	1368	1	3839	1368	0			0			4	3839	5207	225.94					Aggregated								
Recording2	Participant 2	Timeline1	Veggie crisps	1	Veggie crisps	Snack	Nutrition Label		Nutrition Label		0				0			Picture	Picture		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Veggie crisps	1	Veggie crisps	Snack	Picture		Picture		1700	243	80	404	7	0	223	Picture	Picture		1388	278	80	404	5	367	80		1880	470	89	1028	4	0	447	2036	509	153	1072	4	0	447	0			0			2	1319	447	182.55					Aggregated								
Recording2	Participant 2	Timeline1	Veggie crisps	1	Veggie crisps	Snack	Price		Price		0				0			Picture	Picture		0				0				0				0			0				0			0			0			0								Aggregated								
Recording3	Participant 3	Timeline1	Burger	1	Burger	Meal	I would buy	I would buy			264	132	80	184	2	22761	184	Picture	Picture	2.69876	264	132	80	184	2	22761	184	2.69876	292	292	292	292	1	22761	292	352	352	352	352	1	22701	352	1	24460	1699	0			1	22701		398.66					Aggregated								
Recording3	Participant 3	Timeline1	Burger	1	Burger	Meal	I would not buy	I would not buy			0				0			Picture	Picture		0				0				0				0			0				0			0			0			0								Aggregated								
Recording3	Participant 3	Timeline1	Burger	1	Burger	Meal	Ingredients		Ingredients		4504	375	116	920	12	14053	920	Picture	Picture	2.75669	4504	375	116	920	12	14053	920	2.75669	4740	2370	1220	3520	2	14053	3520	4816	2408	1284	3532	2	14041	3532	0			0			10	17949	17573	270.6					Aggregated								
Recording3	Participant 3	Timeline1	Burger	1	Burger	Meal	Nutrition Label		Nutrition Label		13492	237	64	628	57	1568	180	Picture	Picture	2.71906	13492	237	64	628	57	1568	180	2.71906	15460	7730	3088	12372	2	1568	12372	15604	7802	3164	12440	2	1500	12440	0			0			52	1500	22701	296.52					Aggregated								
Recording3	Participant 3	Timeline1	Burger	1	Burger	Meal	Picture		Picture		2003	200	88	368	10	0	368	Picture	Picture	2.6411	1480	185	88	308	8	992	88	2.65014	2203	367	100	702	6	0	368	2339	390	116	722	6	0	368	0			0			2	17573	368	297.92					Aggregated								
Recording3	Participant 3	Timeline1	Burger	1	Burger	Meal	Price		Price		0				0			Picture	Picture		0				0				0				0			0				0			0			0			0								Aggregated								
Recording3	Participant 3	Timeline1	Cereals	1	Cereals	Meal	I would buy	I would buy			0				0			Nutrition Label	Nutrition Label		0				0				0				0			0				0			1	11280		0			0								Aggregated								
Recording3	Participant 3	Timeline1	Cereals	1	Cereals	Meal	I would not buy	I would not buy			0				0			Nutrition Label	Nutrition Label		0				0				0				0			0				0			0			0			0								Aggregated								
Recording3	Participant 3	Timeline1	Cereals	1	Cereals	Meal	Ingredients		Ingredients		3732	311	152	964	12	3113	396	Nutrition Label	Nutrition Label		3732	311	152	964	12	3113	396		3964	3964	3964	3964	1	3113	3964	4032	4032	4032	4032	1	3045	4032	0			0			11	3045	7077	219.47					Aggregated								
Recording3	Participant 3	Timeline1	Cereals	1	Cereals	Meal	Nutrition Label		Nutrition Label		3631	214	39	452	17	7185	104	Nutrition Label	Nutrition Label		3592	225	104	452	16	7185	104		4127	4127	4127	4127	1	7185	4127	4235	4235	4235	4235	1	7077	4235	0			0			16	7077		396.07					Aggregated								
Recording3	Participant 3	Timeline1	Cereals	1	Cereals	Meal	Picture		Picture		2305	288	136	532	8	0	241	Nutrition Label	Nutrition Label		2064	295	136	532	7	261	144		2497	1248	405	2092	2	0	405	2549	1274	405	2144	2	0	405	0			0			6	901	405	90.16					Aggregated								
Recording3	Participant 3	Timeline1	Cereals	1	Cereals	Meal	Price		Price		0				0			Nutrition Label	Nutrition Label		0				0				0				0			0				0			0			0			0								Aggregated								
Recording3	Participant 3	Timeline1	Chips	1	Chips	Snack	I would buy	I would buy			136	136	136	136	1	13522	136	Picture			136	136	136	136	1	13522	136		136	136	136	136	1	13522	136	188	188	188	188	1	13470	188	1	17223	3701	0			0	13470		286.37					Aggregated								
Recording3	Participant 3	Timeline1	Chips	1	Chips	Snack	I would not buy	I would not buy			0				0			Picture			0				0				0				0			0				0			0			0			0								Aggregated								
Recording3	Participant 3	Timeline1	Chips	1	Chips	Snack	Ingredients		Ingredients		6856	361	120	708	19	1114	316	Picture			6856	361	120	708	19	1114	316		7284	3642	1240	6044	2	1114	6044	7328	3664	1244	6084	2	1074	6084	0			0			17	1074	7158	196.84					Aggregated								
Recording3	Participant 3	Timeline1	Chips	1	Chips	Snack	Nutrition Label		Nutrition Label		6352	244	112	420	26	274	112	Picture			6352	244	112	420	26	274	112		7068	2356	268	6084	3	274	268	7320	2440	340	6160	3	202	340	0			0			22	202	13470	331.23					Aggregated								
Recording3	Participant 3	Timeline1	Chips	1	Chips	Snack	Picture		Picture		662	165	80	268	4	0	202	Picture			460	153	80	268	3	7214	80		662	165	80	268	4	0	202	762	190	136	272	4	0	202	0			0			0	7158	202	324.05					Aggregated								
Recording3	Participant 3	Timeline1	Chips	1	Chips	Snack	Price		Price		396	396	396	396	1	16390	396	Picture			396	396	396	396	1	16390	396		396	396	396	396	1	16390	396	484	484	484	484	1	16302	484	0			0			0	16302		439.3					Aggregated								
Recording3	Participant 3	Timeline1	Chocolate bar	1	Chocolate bar	Snack	I would buy	I would buy			0				0			Ingredients			0				0				0				0			0				0			0			0			0								Aggregated								
Recording3	Participant 3	Timeline1	Chocolate bar	1	Chocolate bar	Snack	I would not buy	I would not buy			152	152	152	152	1	8815	152	Ingredients			152	152	152	152	1	8815	152		152	152	152	152	1	8815	152	212	212	212	212	1	8755	212	1	14863	6048	0			0	8755		312.04					Aggregated								
Recording3	Participant 3	Timeline1	Chocolate bar	1	Chocolate bar	Snack	Ingredients		Ingredients		7116	264	72	784	27	6155	244	Ingredients			7116	264	72	784	27	6155	244		7732	3866	2600	5132	2	6155	2600	7860	3930	2664	5196	2	6091	2664	0			0			25	6091	8755	269.56					Aggregated								
Recording3	Participant 3	Timeline1	Chocolate bar	1	Chocolate bar	Snack	Nutrition Label		Nutrition Label		4032	252	84	896	16	1395	168	Ingredients			4032	252	84	896	16	1395	168		4456	4456	4456	4456	1	1395	4456	4516	4516	4516	4516	1	1335	4516	0			0			15	1335	5851	326.37					Aggregated								
Recording3	Participant 3	Timeline1	Chocolate bar	1	Chocolate bar	Snack	Picture		Picture		975	163	96	208	6	0	171	Ingredients			804	161	96	208	5	199	168		1067	356	172	528	3	0	367	1139	380	240	532	3	0	367	0			0			3	5851	367	380.44					Aggregated								
Recording3	Participant 3	Timeline1	Chocolate bar	1	Chocolate bar	Snack	Price		Price		0				0			Ingredients			0				0				0				0			0				0			0			0			0								Aggregated								
Recording3	Participant 3	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	I would buy	I would buy			160	160	160	160	1	6684	160	Picture			160	160	160	160	1	6684	160		160	160	160	160	1	6684	160	184	184	184	184	1	6660	184	0			0			0	6660	6844	86.21					Aggregated								
Recording3	Participant 3	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	I would not buy	I would not buy			1784	198	80	348	9	23488	120	Picture			1784	198	80	348	9	23488	120		1996	1996	1996	1996	1	23488	1996	2040	2040	2040	2040	1	23444	2040	1	25975	2487	0			8		25484						Aggregated								
Recording3	Participant 3	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	Ingredients		Ingredients		5016	334	120	544	15	17600	120	Picture			5016	334	120	544	15	17600	120		5264	2632	120	5144	2	17600	120	5304	2652	124	5180	2	17596	124	0			0			13	18200	17720	112.34					Aggregated								
Recording3	Participant 3	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	Nutrition Label		Nutrition Label		13612	332	120	1444	41	748	124	Picture			13612	332	120	1444	41	748	124		14800	4933	668	10596	3	748	668	14988	4996	732	10656	3	684	732	0			0			37	6844	1416	444.85					Aggregated								
Recording3	Participant 3	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	Picture		Picture		832	277	92	592	3	0	592	Picture			240	120	92	148	2	25540	92		868	434	276	592	2	0	592	924	462	332	592	2	0	592	0			0			1	25484	25816	325.62					Aggregated								
Recording3	Participant 3	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	Price		Price		580	290	124	456	2	2180	124	Picture			580	290	124	456	2	2180	124		580	290	124	456	2	2180	124	668	334	188	480	2	2116	188	0			0			0	2116	2304	333.23					Aggregated								
Recording3	Participant 3	Timeline1	Ice cream	1	Ice cream	Dessert	I would buy	I would buy			568	189	120	232	3	21978	232	Picture			568	189	120	232	3	21978	232		624	624	624	624	1	21978	624	672	672	672	672	1	21930	672	1	22931	953	0			2	21930	22602	250.91					Aggregated								
Recording3	Participant 3	Timeline1	Ice cream	1	Ice cream	Dessert	I would not buy	I would not buy			0				0			Picture			0				0				0				0			0				0			0			0			0								Aggregated								
Recording3	Participant 3	Timeline1	Ice cream	1	Ice cream	Dessert	Ingredients		Ingredients		7772	288	124	596	27	11582	140	Picture			7772	288	124	596	27	11582	140		8352	4176	2048	6304	2	11582	6304	8416	4208	2108	6308	2	11578	6308	0			0			25	18514	17886	312.96					Aggregated								
Recording3	Participant 3	Timeline1	Ice cream	1	Ice cream	Dessert	Nutrition Label		Nutrition Label		9060	252	96	664	36	1354	260	Picture			9060	252	96	664	36	1354	260		10108	10108	10108	10108	1	1354	10108	10140	10140	10140	10140	1	1322	10140	0			0			35	1322		116.07					Aggregated								
Recording3	Participant 3	Timeline1	Ice cream	1	Ice cream	Dessert	Picture		Picture		2050	228	124	628	9	0	126	Picture			1924	241	124	628	8	166	124		2230	557	128	1244	4	0	290	2410	602	184	1308	4	0	290	0			0			4	17886	18514	323.13					Aggregated								
Recording3	Participant 3	Timeline1	Ice cream	1	Ice cream	Dessert	Price		Price		0				0			Picture			0				0				0				0			0				0			0			0			0								Aggregated								
Recording3	Participant 3	Timeline1	Oat cookies	1	Oat cookies	Dessert	I would buy	I would buy			164	164	164	164	1	23135	164	Ingredients	Ingredients		164	164	164	164	1	23135	164		164	164	164	164	1	23135	164	220	220	220	220	1	23079	220	1	24193	1057	0			0	23079		398.33					Aggregated								
Recording3	Participant 3	Timeline1	Oat cookies	1	Oat cookies	Dessert	I would not buy	I would not buy			0				0			Ingredients	Ingredients		0				0				0				0			0				0			0			0			0								Aggregated								
Recording3	Participant 3	Timeline1	Oat cookies	1	Oat cookies	Dessert	Ingredients		Ingredients		9277	265	53	624	35	11351	172	Ingredients	Ingredients		9224	271	60	624	34	11351	172		10073	5037	817	9256	2	11351	9256	10173	5087	821	9352	2	11255	9352	0			0			33	11255		360.54					Aggregated								
Recording3	Participant 3	Timeline1	Oat cookies	1	Oat cookies	Dessert	Nutrition Label		Nutrition Label		9760	279	80	1004	35	2099	144	Ingredients	Ingredients		9760	279	80	1004	35	2099	144		10652	5326	1496	9156	2	2099	9156	10780	5390	1560	9220	2	2035	9220	0			0			33	2035	11255	309.16					Aggregated								
Recording3	Participant 3	Timeline1	Oat cookies	1	Oat cookies	Dessert	Picture		Picture		1363	227	148	296	6	0	239	Ingredients	Ingredients		1124	225	148	296	5	271	148		1471	490	419	580	3	0	419	1563	521	419	628	3	0	419	0			0			2	1407	419	205.12					Aggregated								
Recording3	Participant 3	Timeline1	Oat cookies	1	Oat cookies	Dessert	Price		Price		0				0			Ingredients	Ingredients		0				0				0				0			0				0			0			0			0								Aggregated								
Recording3	Participant 3	Timeline1	Pistachios	1	Pistachios	Snack	I would buy	I would buy			296	148	140	156	2	247	156	Nutrition Label	Nutrition Label		296	148	140	156	2	247	156		296	148	140	156	2	247	156	404	202	196	208	2	195	208	1	8757	8510	1	8757	8510	0	195	403	299.95					Aggregated								
Recording3	Participant 3	Timeline1	Pistachios	1	Pistachios	Snack	I would not buy	I would not buy			0				0			Nutrition Label	Nutrition Label		0				0				0				0			0				0			0			0			0								Aggregated								
Recording3	Participant 3	Timeline1	Pistachios	1	Pistachios	Snack	Ingredients		Ingredients		572	286	216	356	2	1195	356	Nutrition Label	Nutrition Label		572	286	216	356	2	1195	356		600	600	600	600	1	1195	600	680	680	680	680	1	1115	680	0			0			1	1115	1795	250.44					Aggregated								
